Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;19/04/2017;00:00;1030
Grand Lyon;Données temps réel;19/04/2017;00:15;1008
Grand Lyon;Données temps réel;19/04/2017;00:30;974
Grand Lyon;Données temps réel;19/04/2017;00:45;952
Grand Lyon;Données temps réel;19/04/2017;01:00;932
Grand Lyon;Données temps réel;19/04/2017;01:15;894
Grand Lyon;Données temps réel;19/04/2017;01:30;889
Grand Lyon;Données temps réel;19/04/2017;01:45;892
Grand Lyon;Données temps réel;19/04/2017;02:00;878
Grand Lyon;Données temps réel;19/04/2017;02:15;865
Grand Lyon;Données temps réel;19/04/2017;02:30;848
Grand Lyon;Données temps réel;19/04/2017;02:45;853
Grand Lyon;Données temps réel;19/04/2017;03:00;836
Grand Lyon;Données temps réel;19/04/2017;03:15;839
Grand Lyon;Données temps réel;19/04/2017;03:30;833
Grand Lyon;Données temps réel;19/04/2017;03:45;851
Grand Lyon;Données temps réel;19/04/2017;04:00;848
Grand Lyon;Données temps réel;19/04/2017;04:15;846
Grand Lyon;Données temps réel;19/04/2017;04:30;857
Grand Lyon;Données temps réel;19/04/2017;04:45;877
Grand Lyon;Données temps réel;19/04/2017;05:00;865
Grand Lyon;Données temps réel;19/04/2017;05:15;881
Grand Lyon;Données temps réel;19/04/2017;05:30;893
Grand Lyon;Données temps réel;19/04/2017;05:45;918
Grand Lyon;Données temps réel;19/04/2017;06:00;938
Grand Lyon;Données temps réel;19/04/2017;06:15;973
Grand Lyon;Données temps réel;19/04/2017;06:30;987
Grand Lyon;Données temps réel;19/04/2017;06:45;998
Grand Lyon;Données temps réel;19/04/2017;07:00;1012
Grand Lyon;Données temps réel;19/04/2017;07:15;1044
Grand Lyon;Données temps réel;19/04/2017;07:30;1046
Grand Lyon;Données temps réel;19/04/2017;07:45;1082
Grand Lyon;Données temps réel;19/04/2017;08:00;1103
Grand Lyon;Données temps réel;19/04/2017;08:15;1134
Grand Lyon;Données temps réel;19/04/2017;08:30;1127
Grand Lyon;Données temps réel;19/04/2017;08:45;1139
Grand Lyon;Données temps réel;19/04/2017;09:00;1141
Grand Lyon;Données temps réel;19/04/2017;09:15;1150
Grand Lyon;Données temps réel;19/04/2017;09:30;1154
Grand Lyon;Données temps réel;19/04/2017;09:45;1155
Grand Lyon;Données temps réel;19/04/2017;10:00;1163
Grand Lyon;Données temps réel;19/04/2017;10:15;1168
Grand Lyon;Données temps réel;19/04/2017;10:30;1145
Grand Lyon;Données temps réel;19/04/2017;10:45;1152
Grand Lyon;Données temps réel;19/04/2017;11:00;1163
Grand Lyon;Données temps réel;19/04/2017;11:15;1167
Grand Lyon;Données temps réel;19/04/2017;11:30;1187
Grand Lyon;Données temps réel;19/04/2017;11:45;1181
Grand Lyon;Données temps réel;19/04/2017;12:00;1182
Grand Lyon;Données temps réel;19/04/2017;12:15;1178
Grand Lyon;Données temps réel;19/04/2017;12:30;1163
Grand Lyon;Données temps réel;19/04/2017;12:45;1159
Grand Lyon;Données temps réel;19/04/2017;13:00;1152
Grand Lyon;Données temps réel;19/04/2017;13:15;1151
Grand Lyon;Données temps réel;19/04/2017;13:30;1135
Grand Lyon;Données temps réel;19/04/2017;13:45;1139
Grand Lyon;Données temps réel;19/04/2017;14:00;1111
Grand Lyon;Données temps réel;19/04/2017;14:15;1133
Grand Lyon;Données temps réel;19/04/2017;14:30;1109
Grand Lyon;Données temps réel;19/04/2017;14:45;1103
Grand Lyon;Données temps réel;19/04/2017;15:00;1087
Grand Lyon;Données temps réel;19/04/2017;15:15;1090
Grand Lyon;Données temps réel;19/04/2017;15:30;1075
Grand Lyon;Données temps réel;19/04/2017;15:45;1069
Grand Lyon;Données temps réel;19/04/2017;16:00;1067
Grand Lyon;Données temps réel;19/04/2017;16:15;1073
Grand Lyon;Données temps réel;19/04/2017;16:30;1075
Grand Lyon;Données temps réel;19/04/2017;16:45;1046
Grand Lyon;Données temps réel;19/04/2017;17:00;1044
Grand Lyon;Données temps réel;19/04/2017;17:15;1059
Grand Lyon;Données temps réel;19/04/2017;17:30;1029
Grand Lyon;Données temps réel;19/04/2017;17:45;1047
Grand Lyon;Données temps réel;19/04/2017;18:00;1056
Grand Lyon;Données temps réel;19/04/2017;18:15;1055
Grand Lyon;Données temps réel;19/04/2017;18:30;1051
Grand Lyon;Données temps réel;19/04/2017;18:45;1081
Grand Lyon;Données temps réel;19/04/2017;19:00;1105
Grand Lyon;Données temps réel;19/04/2017;19:15;1071
Grand Lyon;Données temps réel;19/04/2017;19:30;1077
Grand Lyon;Données temps réel;19/04/2017;19:45;1080
Grand Lyon;Données temps réel;19/04/2017;20:00;1073
Grand Lyon;Données temps réel;19/04/2017;20:15;1086
Grand Lyon;Données temps réel;19/04/2017;20:30;1085
Grand Lyon;Données temps réel;19/04/2017;20:45;1092
Grand Lyon;Données temps réel;19/04/2017;21:00;1094
Grand Lyon;Données temps réel;19/04/2017;21:15;1079
Grand Lyon;Données temps réel;19/04/2017;21:30;1070
Grand Lyon;Données temps réel;19/04/2017;21:45;1047
Grand Lyon;Données temps réel;19/04/2017;22:00;1051
Grand Lyon;Données temps réel;19/04/2017;22:15;1060
Grand Lyon;Données temps réel;19/04/2017;22:30;1050
Grand Lyon;Données temps réel;19/04/2017;22:45;1156
Grand Lyon;Données temps réel;19/04/2017;23:00;1143
Grand Lyon;Données temps réel;19/04/2017;23:15;1189
Grand Lyon;Données temps réel;19/04/2017;23:30;1153
Grand Lyon;Données temps réel;19/04/2017;23:45;1121
Grand Lyon;Données temps réel;20/04/2017;00:00;1085
Grand Lyon;Données temps réel;20/04/2017;00:15;1055
Grand Lyon;Données temps réel;20/04/2017;00:30;1039
Grand Lyon;Données temps réel;20/04/2017;00:45;1003
Grand Lyon;Données temps réel;20/04/2017;01:00;976
Grand Lyon;Données temps réel;20/04/2017;01:15;957
Grand Lyon;Données temps réel;20/04/2017;01:30;944
Grand Lyon;Données temps réel;20/04/2017;01:45;941
Grand Lyon;Données temps réel;20/04/2017;02:00;919
Grand Lyon;Données temps réel;20/04/2017;02:15;914
Grand Lyon;Données temps réel;20/04/2017;02:30;915
Grand Lyon;Données temps réel;20/04/2017;02:45;902
Grand Lyon;Données temps réel;20/04/2017;03:00;902
Grand Lyon;Données temps réel;20/04/2017;03:15;890
Grand Lyon;Données temps réel;20/04/2017;03:30;893
Grand Lyon;Données temps réel;20/04/2017;03:45;902
Grand Lyon;Données temps réel;20/04/2017;04:00;904
Grand Lyon;Données temps réel;20/04/2017;04:15;900
Grand Lyon;Données temps réel;20/04/2017;04:30;908
Grand Lyon;Données temps réel;20/04/2017;04:45;900
Grand Lyon;Données temps réel;20/04/2017;05:00;921
Grand Lyon;Données temps réel;20/04/2017;05:15;949
Grand Lyon;Données temps réel;20/04/2017;05:30;964
Grand Lyon;Données temps réel;20/04/2017;05:45;990
Grand Lyon;Données temps réel;20/04/2017;06:00;991
Grand Lyon;Données temps réel;20/04/2017;06:15;1032
Grand Lyon;Données temps réel;20/04/2017;06:30;1030
Grand Lyon;Données temps réel;20/04/2017;06:45;1043
Grand Lyon;Données temps réel;20/04/2017;07:00;1076
Grand Lyon;Données temps réel;20/04/2017;07:15;1095
Grand Lyon;Données temps réel;20/04/2017;07:30;1120
Grand Lyon;Données temps réel;20/04/2017;07:45;1145
Grand Lyon;Données temps réel;20/04/2017;08:00;1161
Grand Lyon;Données temps réel;20/04/2017;08:15;1178
Grand Lyon;Données temps réel;20/04/2017;08:30;1209
Grand Lyon;Données temps réel;20/04/2017;08:45;1205
Grand Lyon;Données temps réel;20/04/2017;09:00;1212
Grand Lyon;Données temps réel;20/04/2017;09:15;1220
Grand Lyon;Données temps réel;20/04/2017;09:30;1220
Grand Lyon;Données temps réel;20/04/2017;09:45;1217
Grand Lyon;Données temps réel;20/04/2017;10:00;1214
Grand Lyon;Données temps réel;20/04/2017;10:15;1223
Grand Lyon;Données temps réel;20/04/2017;10:30;1202
Grand Lyon;Données temps réel;20/04/2017;10:45;1231
Grand Lyon;Données temps réel;20/04/2017;11:00;1225
Grand Lyon;Données temps réel;20/04/2017;11:15;1224
Grand Lyon;Données temps réel;20/04/2017;11:30;1230
Grand Lyon;Données temps réel;20/04/2017;11:45;1215
Grand Lyon;Données temps réel;20/04/2017;12:00;1220
Grand Lyon;Données temps réel;20/04/2017;12:15;1217
Grand Lyon;Données temps réel;20/04/2017;12:30;1216
Grand Lyon;Données temps réel;20/04/2017;12:45;1206
Grand Lyon;Données temps réel;20/04/2017;13:00;1190
Grand Lyon;Données temps réel;20/04/2017;13:15;1190
Grand Lyon;Données temps réel;20/04/2017;13:30;1182
Grand Lyon;Données temps réel;20/04/2017;13:45;1171
Grand Lyon;Données temps réel;20/04/2017;14:00;1151
Grand Lyon;Données temps réel;20/04/2017;14:15;1150
Grand Lyon;Données temps réel;20/04/2017;14:30;1144
Grand Lyon;Données temps réel;20/04/2017;14:45;1121
Grand Lyon;Données temps réel;20/04/2017;15:00;1108
Grand Lyon;Données temps réel;20/04/2017;15:15;1103
Grand Lyon;Données temps réel;20/04/2017;15:30;1094
Grand Lyon;Données temps réel;20/04/2017;15:45;1082
Grand Lyon;Données temps réel;20/04/2017;16:00;1072
Grand Lyon;Données temps réel;20/04/2017;16:15;1062
Grand Lyon;Données temps réel;20/04/2017;16:30;1076
Grand Lyon;Données temps réel;20/04/2017;16:45;1055
Grand Lyon;Données temps réel;20/04/2017;17:00;1049
Grand Lyon;Données temps réel;20/04/2017;17:15;1052
Grand Lyon;Données temps réel;20/04/2017;17:30;1048
Grand Lyon;Données temps réel;20/04/2017;17:45;1060
Grand Lyon;Données temps réel;20/04/2017;18:00;1048
Grand Lyon;Données temps réel;20/04/2017;18:15;1057
Grand Lyon;Données temps réel;20/04/2017;18:30;1047
Grand Lyon;Données temps réel;20/04/2017;18:45;1076
Grand Lyon;Données temps réel;20/04/2017;19:00;1084
Grand Lyon;Données temps réel;20/04/2017;19:15;1081
Grand Lyon;Données temps réel;20/04/2017;19:30;1096
Grand Lyon;Données temps réel;20/04/2017;19:45;1085
Grand Lyon;Données temps réel;20/04/2017;20:00;1093
Grand Lyon;Données temps réel;20/04/2017;20:15;1087
Grand Lyon;Données temps réel;20/04/2017;20:30;1087
Grand Lyon;Données temps réel;20/04/2017;20:45;1102
Grand Lyon;Données temps réel;20/04/2017;21:00;1110
Grand Lyon;Données temps réel;20/04/2017;21:15;1090
Grand Lyon;Données temps réel;20/04/2017;21:30;1087
Grand Lyon;Données temps réel;20/04/2017;21:45;1050
Grand Lyon;Données temps réel;20/04/2017;22:00;1062
Grand Lyon;Données temps réel;20/04/2017;22:15;1084
Grand Lyon;Données temps réel;20/04/2017;22:30;1068
Grand Lyon;Données temps réel;20/04/2017;22:45;1167
Grand Lyon;Données temps réel;20/04/2017;23:00;1167
Grand Lyon;Données temps réel;20/04/2017;23:15;1208
Grand Lyon;Données temps réel;20/04/2017;23:30;1170
Grand Lyon;Données temps réel;20/04/2017;23:45;ND
Grand Lyon;Données temps réel;21/04/2017;00:00;1106
Grand Lyon;Données temps réel;21/04/2017;00:15;1078
Grand Lyon;Données temps réel;21/04/2017;00:30;1042
Grand Lyon;Données temps réel;21/04/2017;00:45;1009
Grand Lyon;Données temps réel;21/04/2017;01:00;982
Grand Lyon;Données temps réel;21/04/2017;01:15;965
Grand Lyon;Données temps réel;21/04/2017;01:30;950
Grand Lyon;Données temps réel;21/04/2017;01:45;934
Grand Lyon;Données temps réel;21/04/2017;02:00;931
Grand Lyon;Données temps réel;21/04/2017;02:15;913
Grand Lyon;Données temps réel;21/04/2017;02:30;904
Grand Lyon;Données temps réel;21/04/2017;02:45;913
Grand Lyon;Données temps réel;21/04/2017;03:00;897
Grand Lyon;Données temps réel;21/04/2017;03:15;904
Grand Lyon;Données temps réel;21/04/2017;03:30;909
Grand Lyon;Données temps réel;21/04/2017;03:45;895
Grand Lyon;Données temps réel;21/04/2017;04:00;895
Grand Lyon;Données temps réel;21/04/2017;04:15;901
Grand Lyon;Données temps réel;21/04/2017;04:30;909
Grand Lyon;Données temps réel;21/04/2017;04:45;911
Grand Lyon;Données temps réel;21/04/2017;05:00;919
Grand Lyon;Données temps réel;21/04/2017;05:15;942
Grand Lyon;Données temps réel;21/04/2017;05:30;970
Grand Lyon;Données temps réel;21/04/2017;05:45;986
Grand Lyon;Données temps réel;21/04/2017;06:00;995
Grand Lyon;Données temps réel;21/04/2017;06:15;1022
Grand Lyon;Données temps réel;21/04/2017;06:30;1022
Grand Lyon;Données temps réel;21/04/2017;06:45;1040
Grand Lyon;Données temps réel;21/04/2017;07:00;1056
Grand Lyon;Données temps réel;21/04/2017;07:15;1086
Grand Lyon;Données temps réel;21/04/2017;07:30;1115
Grand Lyon;Données temps réel;21/04/2017;07:45;1128
Grand Lyon;Données temps réel;21/04/2017;08:00;1148
Grand Lyon;Données temps réel;21/04/2017;08:15;1170
Grand Lyon;Données temps réel;21/04/2017;08:30;1174
Grand Lyon;Données temps réel;21/04/2017;08:45;1180
Grand Lyon;Données temps réel;21/04/2017;09:00;1191
Grand Lyon;Données temps réel;21/04/2017;09:15;1208
Grand Lyon;Données temps réel;21/04/2017;09:30;1197
Grand Lyon;Données temps réel;21/04/2017;09:45;1197
Grand Lyon;Données temps réel;21/04/2017;10:00;1204
Grand Lyon;Données temps réel;21/04/2017;10:15;1213
Grand Lyon;Données temps réel;21/04/2017;10:30;1189
Grand Lyon;Données temps réel;21/04/2017;10:45;1207
Grand Lyon;Données temps réel;21/04/2017;11:00;1194
Grand Lyon;Données temps réel;21/04/2017;11:15;1197
Grand Lyon;Données temps réel;21/04/2017;11:30;1195
Grand Lyon;Données temps réel;21/04/2017;11:45;1207
Grand Lyon;Données temps réel;21/04/2017;12:00;1204
Grand Lyon;Données temps réel;21/04/2017;12:15;1206
Grand Lyon;Données temps réel;21/04/2017;12:30;1171
Grand Lyon;Données temps réel;21/04/2017;12:45;1162
Grand Lyon;Données temps réel;21/04/2017;13:00;1148
Grand Lyon;Données temps réel;21/04/2017;13:15;1142
Grand Lyon;Données temps réel;21/04/2017;13:30;1138
Grand Lyon;Données temps réel;21/04/2017;13:45;1120
Grand Lyon;Données temps réel;21/04/2017;14:00;1112
Grand Lyon;Données temps réel;21/04/2017;14:15;1103
Grand Lyon;Données temps réel;21/04/2017;14:30;1081
